NORAD_ID,OBJECT_NAME,INCLINATION,RAAN,ECCENTRICITY,ARG_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,BSTAR,EPOCH
00051,DEBRIS_00051,47.2122,264.0301,0.0107543,351.0783,8.8095,12.18378290,-23157-3,26098.81161558
00053,DEBRIS_00053,47.2764,194.8876,0.0100660,231.5947,127.5769,12.17409628,-15738-3,26099.28197362
00115,DEBRIS_00115,48.1619,81.7820,0.0027050,305.6457,54.1942,14.97819770,26689-3,26098.87274434
00119,DEBRIS_00119,66.7271,207.1086,0.0106424,307.2826,51.8603,14.27251325,35136-3,26099.56069842
120,DEBRIS_120,66.7046,250.2783,0.0105263,51.9355,309.1182,14.29510391,26049-3,26099.80969734
121,DEBRIS_121,66.7479,212.0132,0.0087456,50.2101,310.6641,14.00220475,65718-4,26099.59904150
00122,DEBRIS_00122,66.7426,24.7651,0.0045027,260.2407,99.3640,15.00050723,70831-3,26099.20429608
123,DEBRIS_123,66.6857,250.2121,0.0114007,316.7572,42.4622,14.41616063,18072-3,26099.85730335
124,DEBRIS_124,66.5436,65.8883,0.0069082,186.0581,173.9692,14.35920422,39895-3,26099.60136169
00125,DEBRIS_00125,66.8736,102.4212,0.0066138,117.4417,243.3418,14.07663864,16848-3,26099.01538803
126,DEBRIS_126,66.7077,276.9096,0.0065234,303.0674,56.4177,14.44711901,43691-3,26099.82209473
127,DEBRIS_127,66.8264,129.6220,0.0057250,54.7608,305.8840,14.48346080,41311-3,26099.47635931
128,DEBRIS_128,66.6771,351.0686,0.0093449,1.0877,359.0392,14.02019435,94932-4,26099.76712052
130,DEBRIS_130,66.7708,61.7625,0.0088690,333.7163,25.9432,13.99412840,10692-3,26099.63676869
131,DEBRIS_131,66.7339,274.0046,0.0073833,119.2622,241.5869,14.01765292,14428-3,26099.82406686
00132,DEBRIS_00132,66.6585,141.5903,0.0080744,239.1794,120.1323,13.94763019,63657-4,26099.53255556
00133,DEBRIS_00133,67.1158,34.9725,0.0051542,200.6049,159.2972,14.22935820,37821-3,26099.22732983
134,DEBRIS_134,66.8804,215.6432,0.0087256,243.3835,115.8289,13.97745326,15193-3,26099.59608212
00136,DEBRIS_00136,67.5267,98.1328,0.0038598,97.4791,263.0708,14.41945791,49215-3,26099.39813610
138,DEBRIS_138,67.1537,270.0916,0.0029378,185.4845,174.5926,14.04686205,43763-3,26099.85448013
141,DEBRIS_141,66.5890,212.7244,0.0046795,91.3025,269.3413,13.88965871,33404-3,26099.50881961
144,DEBRIS_144,66.4998,197.9806,0.0037381,33.8282,326.5168,13.91644344,20649-3,26099.52800802
00145,DEBRIS_00145,66.9268,193.0087,0.0065076,341.2677,18.6015,14.03251196,22127-3,26099.56503426
147,DEBRIS_147,66.6170,179.2067,0.0044732,130.8803,229.6180,14.24169954,38052-3,26099.50122451
148,DEBRIS_148,65.7714,293.9777,0.0143862,352.9681,6.9378,14.10718470,37433-3,26099.81225567
00150,DEBRIS_00150,66.2466,72.8881,0.0068454,293.4316,65.9567,13.83819927,60378-3,26099.33504110
152,DEBRIS_152,66.5914,134.6540,0.0156778,244.5429,113.9367,14.11488887,27116-3,26099.46603295
154,DEBRIS_154,66.6589,325.6518,0.0076464,58.6215,302.2321,14.06297122,14290-3,26099.76423391
00155,DEBRIS_00155,66.8751,91.1183,0.0044926,304.0118,55.6728,14.51939499,65242-3,26099.33534111
00158,DEBRIS_00158,67.0779,347.3879,0.0613681,285.8460,67.5759,12.66186179,-74080-4,26099.36224771
00159,DEBRIS_00159,65.5287,26.7582,0.0367107,186.6776,172.9282,13.03044222,46485-3,26099.34535747
00167,DEBRIS_00167,47.8473,353.5132,0.0090087,187.4930,172.4612,14.24142098,60418-4,26098.72133321
172,DEBRIS_172,67.0687,324.5178,0.0127215,113.7612,247.6855,13.59232209,63334-3,26099.89773977
